Buttehouse Prunes Northwest SMP 1,Irrigation Zone 16"-36",Soil Moisture 12",Soil Moisture 16",Soil Moisture 20",Soil Moisture 36",Soil Moisture 48",Pressure Switch Port B
5/28/2020 10:00:00 AM,56.02,3.24,6.05,11.01,38.97,35.86,1
5/28/2020 9:00:00 AM,56.13,3.25,6.09,11.04,39,35.91,1
5/28/2020 8:00:00 AM,56.21,3.27,6.11,11.07,39.03,35.96,1
5/28/2020 7:00:00 AM,56.27,3.28,6.13,11.09,39.05,36.02,1
5/28/2020 6:00:00 AM,56.31,3.28,6.14,11.1,39.07,36.06,1
5/28/2020 5:00:00 AM,56.31,3.28,6.14,11.11,39.06,36.04,1
5/28/2020 4:00:00 AM,56.3,3.28,6.14,11.12,39.05,36.01,1
5/28/2020 3:00:00 AM,56.3,3.28,6.14,11.12,39.04,35.98,1
5/28/2020 2:00:00 AM,56.26,3.29,6.11,11.12,39.03,35.94,1
5/28/2020 1:00:00 AM,56.23,3.31,6.1,11.11,39.02,35.89,1
5/28/2020 12:00:00 AM,56.2,3.32,6.08,11.11,39.01,35.85,1
5/27/2020 11:00:00 PM,56.18,3.32,6.06,11.11,39.01,35.8,1
5/27/2020 10:00:00 PM,56.15,3.35,6.04,11.1,39.01,35.73,1
5/27/2020 9:00:00 PM,56.12,3.36,6.02,11.09,39.01,35.65,1
5/27/2020 8:00:00 PM,56.09,3.36,6,11.09,39,35.56,1
5/27/2020 7:00:00 PM,56.08,3.36,5.98,11.09,39.01,35.48,1
5/27/2020 6:00:00 PM,56.11,3.35,5.98,11.09,39.04,35.45,1
5/27/2020 5:00:00 PM,56.18,3.35,5.98,11.11,39.09,35.44,1
5/27/2020 4:00:00 PM,56.25,3.34,5.99,11.14,39.12,35.45,1
5/27/2020 3:00:00 PM,56.31,3.33,6,11.15,39.15,35.46,1
5/27/2020 2:00:00 PM,56.38,3.33,6.02,11.18,39.18,35.48,1
5/27/2020 1:00:00 PM,56.46,3.33,6.04,11.23,39.2,35.51,1
5/27/2020 12:00:00 PM,56.54,3.33,6.06,11.26,39.21,35.55,1
5/27/2020 11:00:00 AM,56.63,3.33,6.11,11.27,39.25,35.59,1
5/27/2020 10:00:00 AM,56.73,3.35,6.15,11.29,39.29,35.62,1
5/27/2020 9:00:00 AM,56.84,3.36,6.19,11.32,39.32,35.68,1
5/27/2020 8:00:00 AM,56.94,3.38,6.24,11.35,39.35,35.74,1
5/27/2020 7:00:00 AM,57,3.39,6.26,11.37,39.37,35.81,1
5/27/2020 6:00:00 AM,57.02,3.4,6.26,11.38,39.38,35.83,1
5/27/2020 5:00:00 AM,57.01,3.4,6.26,11.38,39.37,35.8,1
5/27/2020 4:00:00 AM,57.01,3.41,6.26,11.39,39.36,35.77,1
5/27/2020 3:00:00 AM,57,3.41,6.26,11.39,39.36,35.74,1
5/27/2020 2:00:00 AM,56.99,3.42,6.26,11.38,39.35,35.7,1
5/27/2020 1:00:00 AM,56.98,3.43,6.26,11.38,39.34,35.66,1
5/27/2020 12:00:00 AM,56.97,3.44,6.25,11.38,39.34,35.61,1
5/26/2020 11:00:00 PM,56.94,3.45,6.24,11.37,39.33,35.56,1
5/26/2020 10:00:00 PM,56.91,3.46,6.23,11.36,39.33,35.5,1
5/26/2020 9:00:00 PM,56.88,3.47,6.21,11.34,39.32,35.42,1
5/26/2020 8:00:00 PM,56.85,3.47,6.19,11.34,39.32,35.33,1
5/26/2020 7:00:00 PM,56.83,3.45,6.17,11.33,39.33,35.24,1
5/26/2020 6:00:00 PM,56.85,3.44,6.16,11.34,39.35,35.2,1
5/26/2020 5:00:00 PM,56.91,3.43,6.17,11.36,39.39,35.17,1
5/26/2020 4:00:00 PM,56.99,3.43,6.18,11.38,39.43,35.18,1
5/26/2020 3:00:00 PM,57.07,3.42,6.19,11.41,39.46,35.19,1
5/26/2020 2:00:00 PM,57.16,3.43,6.22,11.45,39.49,35.22,1
5/26/2020 1:00:00 PM,57.24,3.43,6.25,11.48,39.52,35.25,1
5/26/2020 12:00:00 PM,57.33,3.44,6.28,11.51,39.54,35.31,1
5/26/2020 11:00:00 AM,57.44,3.44,6.31,11.55,39.58,35.35,1
5/26/2020 10:00:00 AM,57.56,3.45,6.34,11.59,39.62,35.39,1
5/26/2020 9:00:00 AM,57.66,3.47,6.38,11.62,39.66,35.45,1
5/26/2020 8:00:00 AM,57.74,3.48,6.4,11.65,39.69,35.51,1
5/26/2020 7:00:00 AM,57.8,3.49,6.41,11.67,39.71,35.57,1
5/26/2020 6:00:00 AM,57.81,3.49,6.42,11.68,39.71,35.59,1
5/26/2020 5:00:00 AM,57.82,3.5,6.42,11.68,39.71,35.57,1
5/26/2020 4:00:00 AM,57.81,3.5,6.42,11.68,39.71,35.55,1
5/26/2020 3:00:00 AM,57.8,3.51,6.42,11.68,39.7,35.51,1
5/26/2020 2:00:00 AM,57.79,3.52,6.42,11.68,39.7,35.48,1
5/26/2020 1:00:00 AM,57.77,3.52,6.41,11.67,39.69,35.44,1
5/26/2020 12:00:00 AM,57.76,3.53,6.4,11.66,39.69,35.39,1
5/25/2020 11:00:00 PM,57.74,3.53,6.39,11.65,39.69,35.33,1
5/25/2020 10:00:00 PM,57.71,3.53,6.38,11.64,39.68,35.28,1
5/25/2020 9:00:00 PM,57.68,3.55,6.36,11.63,39.69,35.21,1
5/25/2020 8:00:00 PM,57.65,3.55,6.34,11.62,39.69,35.12,1
5/25/2020 7:00:00 PM,57.65,3.54,6.32,11.62,39.7,35.05,1
5/25/2020 6:00:00 PM,57.68,3.53,6.32,11.63,39.73,35.02,1
5/25/2020 5:00:00 PM,57.76,3.51,6.32,11.66,39.78,35.01,1
5/25/2020 4:00:00 PM,57.83,3.49,6.33,11.69,39.81,35.02,1
5/25/2020 3:00:00 PM,57.91,3.48,6.34,11.72,39.85,35.03,1
5/25/2020 2:00:00 PM,58,3.48,6.36,11.76,39.88,35.06,1
5/25/2020 1:00:00 PM,58.07,3.48,6.38,11.8,39.9,35.09,1
5/25/2020 12:00:00 PM,58.16,3.49,6.4,11.83,39.93,35.13,1
5/25/2020 11:00:00 AM,58.25,3.49,6.42,11.87,39.97,35.17,1
5/25/2020 10:00:00 AM,58.35,3.5,6.45,11.9,40,35.21,1
5/25/2020 9:00:00 AM,58.44,3.51,6.47,11.93,40.04,35.26,1
5/25/2020 8:00:00 AM,58.51,3.53,6.49,11.96,40.06,35.33,1
5/25/2020 7:00:00 AM,58.54,3.53,6.5,11.97,40.07,35.38,1
5/25/2020 6:00:00 AM,58.55,3.53,6.51,11.97,40.07,35.39,1
5/25/2020 5:00:00 AM,58.54,3.53,6.5,11.97,40.07,35.37,1
5/25/2020 4:00:00 AM,58.55,3.53,6.5,11.97,40.08,35.34,1
5/25/2020 3:00:00 AM,58.54,3.54,6.5,11.97,40.07,35.31,1
5/25/2020 2:00:00 AM,58.54,3.54,6.5,11.97,40.07,35.27,1
5/25/2020 1:00:00 AM,58.53,3.55,6.49,11.97,40.07,35.24,1
5/25/2020 12:00:00 AM,58.53,3.55,6.49,11.97,40.07,35.2,1
5/24/2020 11:00:00 PM,58.5,3.56,6.48,11.96,40.06,35.15,1
5/24/2020 10:00:00 PM,58.48,3.56,6.47,11.95,40.06,35.09,1
5/24/2020 9:00:00 PM,58.45,3.57,6.46,11.94,40.06,35.02,1
5/24/2020 8:00:00 PM,58.43,3.58,6.44,11.93,40.06,34.93,1
5/24/2020 7:00:00 PM,58.42,3.57,6.42,11.93,40.07,34.85,1
5/24/2020 6:00:00 PM,58.46,3.56,6.42,11.95,40.09,34.81,1
5/24/2020 5:00:00 PM,58.53,3.56,6.42,11.97,40.14,34.8,1
5/24/2020 4:00:00 PM,58.6,3.55,6.43,12,40.17,34.81,1
5/24/2020 3:00:00 PM,58.71,3.55,6.45,12.05,40.21,34.83,1
5/24/2020 2:00:00 PM,58.8,3.53,6.47,12.09,40.24,34.86,1
5/24/2020 1:00:00 PM,58.89,3.53,6.5,12.12,40.27,34.89,1
5/24/2020 12:00:00 PM,58.97,3.54,6.52,12.16,40.29,34.94,1
5/24/2020 11:00:00 AM,59.08,3.55,6.55,12.2,40.33,34.99,1
5/24/2020 10:00:00 AM,59.19,3.57,6.58,12.24,40.37,35.03,1
5/24/2020 9:00:00 AM,59.28,3.6,6.61,12.27,40.4,35.08,1
5/24/2020 8:00:00 AM,59.36,3.62,6.64,12.29,40.43,35.12,1
5/24/2020 7:00:00 AM,59.42,3.64,6.64,12.3,40.47,35.18,1
5/24/2020 6:00:00 AM,59.43,3.63,6.64,12.31,40.48,35.19,1
5/24/2020 5:00:00 AM,59.43,3.6,6.64,12.31,40.48,35.17,1
5/24/2020 4:00:00 AM,59.42,3.58,6.63,12.31,40.48,35.14,1
5/24/2020 3:00:00 AM,59.42,3.57,6.62,12.31,40.48,35.11,1
5/24/2020 2:00:00 AM,59.42,3.55,6.62,12.32,40.48,35.08,1
5/24/2020 1:00:00 AM,59.41,3.54,6.61,12.32,40.48,35.04,1
5/24/2020 12:00:00 AM,59.39,3.54,6.6,12.32,40.47,35,1
5/23/2020 11:00:00 PM,59.37,3.53,6.59,12.31,40.47,34.95,1
