Balthazar Prunes SMP,Irrigation Zone 16"-36",Soil Moisture 8",Soil Moisture 16",Soil Moisture 28",Soil Moisture 36",Soil Moisture 48",Soil Moisture 56",Dwyer Pressure Sensor 0-100,Pressure Switch - Calculated
5/28/2020 10:00:00 AM,206.19,46.02,56.17,76.47,73.55,89.8,90.04,-0.07,0
5/28/2020 9:00:00 AM,206.32,46.11,56.24,76.52,73.56,89.8,90.03,-0.04,0
5/28/2020 8:00:00 AM,206.4,46.2,56.28,76.56,73.56,89.8,90.04,-0.04,0
5/28/2020 7:00:00 AM,206.45,46.28,56.3,76.58,73.58,89.79,90.05,-0.01,0
5/28/2020 6:00:00 AM,206.43,46.31,56.28,76.57,73.58,89.79,90.04,-0.01,0
5/28/2020 5:00:00 AM,206.44,46.32,56.28,76.57,73.58,89.8,90.04,-0.01,0
5/28/2020 4:00:00 AM,206.4,46.35,56.27,76.56,73.58,89.79,90.04,-0.03,0
5/28/2020 3:00:00 AM,206.37,46.35,56.26,76.55,73.56,89.77,90.03,-0.03,0
5/28/2020 2:00:00 AM,206.35,46.37,56.25,76.55,73.55,89.8,90.04,-0.05,0
5/28/2020 1:00:00 AM,206.3,46.37,56.22,76.53,73.55,89.79,90.03,-0.06,0
5/28/2020 12:00:00 AM,206.25,46.33,56.21,76.5,73.54,89.78,90.04,-0.06,0
5/27/2020 11:00:00 PM,206.25,46.32,56.21,76.5,73.54,89.77,90.03,-0.07,0
5/27/2020 10:00:00 PM,206.17,46.27,56.18,76.48,73.51,89.78,90.03,-0.08,0
5/27/2020 9:00:00 PM,206.15,46.22,56.17,76.46,73.51,89.78,90.03,-0.09,0
5/27/2020 8:00:00 PM,206.14,46.15,56.18,76.45,73.51,89.77,90.03,-0.14,0
5/27/2020 7:00:00 PM,206.16,46.04,56.19,76.46,73.51,89.78,90.03,-0.16,0
5/27/2020 6:00:00 PM,206.26,45.97,56.25,76.5,73.51,89.78,90.04,-0.23,0
5/27/2020 5:00:00 PM,206.39,45.93,56.33,76.55,73.52,89.78,90.03,-0.3,0
5/27/2020 4:00:00 PM,206.53,45.91,56.42,76.59,73.52,89.8,90.02,-0.29,0
5/27/2020 3:00:00 PM,206.74,45.98,56.57,76.64,73.54,89.81,90.03,-0.28,0
5/27/2020 2:00:00 PM,206.93,46.03,56.7,76.68,73.55,89.82,90.02,-0.22,0
5/27/2020 1:00:00 PM,207.11,46.08,56.82,76.73,73.57,89.84,90.03,-0.16,0
5/27/2020 12:00:00 PM,207.28,46.13,56.93,76.77,73.58,89.83,90.03,-0.14,0
5/27/2020 11:00:00 AM,207.46,46.21,57.04,76.82,73.6,89.84,90.01,-0.12,0
5/27/2020 10:00:00 AM,207.61,46.32,57.14,76.86,73.6,89.82,90.02,-0.08,0
5/27/2020 9:00:00 AM,207.74,46.4,57.22,76.9,73.61,89.83,90.01,-0.06,0
5/27/2020 8:00:00 AM,207.85,46.49,57.27,76.95,73.63,89.84,90.02,-0.04,0
5/27/2020 7:00:00 AM,207.94,46.56,57.29,77.01,73.64,89.82,90.02,-0.04,0
5/27/2020 6:00:00 AM,207.9,46.61,57.27,77,73.63,89.82,90.02,-0.01,0
5/27/2020 5:00:00 AM,207.87,46.61,57.26,76.99,73.62,89.82,90.02,-0.04,0
5/27/2020 4:00:00 AM,207.82,46.63,57.24,76.96,73.62,89.83,90.03,-0.02,0
5/27/2020 3:00:00 AM,207.81,46.64,57.24,76.96,73.61,89.82,90.02,-0.05,0
5/27/2020 2:00:00 AM,207.76,46.62,57.22,76.94,73.6,89.83,90.01,-0.06,0
5/27/2020 1:00:00 AM,207.73,46.61,57.2,76.94,73.59,89.82,90.02,-0.06,0
5/27/2020 12:00:00 AM,207.7,46.61,57.18,76.93,73.59,89.83,90.02,-0.08,0
5/26/2020 11:00:00 PM,207.66,46.58,57.17,76.91,73.59,89.83,90.01,-0.06,0
5/26/2020 10:00:00 PM,207.63,46.55,57.16,76.89,73.58,89.82,90.02,-0.09,0
5/26/2020 9:00:00 PM,207.58,46.48,57.14,76.87,73.57,89.82,90.02,-0.11,0
5/26/2020 8:00:00 PM,207.58,46.39,57.13,76.89,73.56,89.82,90.01,-0.13,0
5/26/2020 7:00:00 PM,207.58,46.3,57.13,76.88,73.56,89.81,90.01,-0.16,0
5/26/2020 6:00:00 PM,207.67,46.19,57.18,76.91,73.58,89.82,90.01,-0.21,0
5/26/2020 5:00:00 PM,207.8,46.12,57.26,76.95,73.59,89.81,90.01,-0.29,0
5/26/2020 4:00:00 PM,207.95,46.14,57.37,76.99,73.59,89.81,90.02,-0.28,0
5/26/2020 3:00:00 PM,208.12,46.17,57.48,77.04,73.6,89.84,90.01,-0.26,0
5/26/2020 2:00:00 PM,208.35,46.23,57.62,77.09,73.63,89.84,90.01,-0.19,0
5/26/2020 1:00:00 PM,208.53,46.27,57.77,77.14,73.62,89.84,90.02,-0.15,0
5/26/2020 12:00:00 PM,208.73,46.33,57.89,77.21,73.63,89.85,90.01,-0.13,0
5/26/2020 11:00:00 AM,208.9,46.42,58,77.24,73.66,89.86,90.02,-0.13,0
5/26/2020 10:00:00 AM,209.06,46.5,58.09,77.3,73.67,89.85,90.01,-0.07,0
5/26/2020 9:00:00 AM,209.19,46.64,58.17,77.35,73.67,89.86,90.01,-0.03,0
5/26/2020 8:00:00 AM,209.29,46.71,58.22,77.39,73.68,89.85,90.01,-0.01,0
5/26/2020 7:00:00 AM,209.34,46.78,58.23,77.42,73.7,89.86,90.01,0,0
5/26/2020 6:00:00 AM,209.34,46.79,58.23,77.42,73.69,89.85,90.02,-0.03,0
5/26/2020 5:00:00 AM,209.32,46.82,58.22,77.41,73.69,89.86,90.01,0,0
5/26/2020 4:00:00 AM,209.27,46.82,58.2,77.4,73.68,89.85,90.01,-0.03,0
5/26/2020 3:00:00 AM,209.25,46.83,58.18,77.39,73.68,89.86,90.01,-0.01,0
5/26/2020 2:00:00 AM,209.23,46.82,58.16,77.39,73.68,89.86,90.01,-0.05,0
5/26/2020 1:00:00 AM,209.22,46.83,58.16,77.39,73.67,89.85,90.01,-0.04,0
5/26/2020 12:00:00 AM,209.17,46.8,58.15,77.36,73.66,89.86,90.02,-0.06,0
5/25/2020 11:00:00 PM,209.14,46.78,58.13,77.36,73.65,89.86,90.03,-0.06,0
5/25/2020 10:00:00 PM,209.12,46.74,58.13,77.36,73.64,89.86,90.02,-0.07,0
5/25/2020 9:00:00 PM,209.1,46.67,58.09,77.35,73.65,89.85,90.04,-0.09,0
5/25/2020 8:00:00 PM,209.08,46.6,58.09,77.33,73.66,89.86,90.03,-0.1,0
5/25/2020 7:00:00 PM,209.07,46.5,58.09,77.34,73.64,89.86,90.03,-0.14,0
5/25/2020 6:00:00 PM,209.17,46.41,58.16,77.36,73.65,89.86,90.04,-0.18,0
5/25/2020 5:00:00 PM,209.3,46.36,58.24,77.41,73.66,89.86,90.03,-0.28,0
5/25/2020 4:00:00 PM,209.46,46.36,58.35,77.45,73.67,89.86,90.03,-0.26,0
5/25/2020 3:00:00 PM,209.62,46.4,58.46,77.49,73.67,89.87,90.03,-0.21,0
5/25/2020 2:00:00 PM,209.81,46.45,58.57,77.56,73.69,89.87,90.04,-0.16,0
5/25/2020 1:00:00 PM,209.98,46.5,58.68,77.6,73.69,89.89,90.05,-0.13,0
5/25/2020 12:00:00 PM,210.16,46.55,58.8,77.66,73.7,89.87,90.05,-0.11,0
5/25/2020 11:00:00 AM,210.32,46.64,58.89,77.71,73.72,89.89,90.05,-0.08,0
5/25/2020 10:00:00 AM,210.5,46.75,59,77.77,73.74,89.9,90.03,-0.04,0
5/25/2020 9:00:00 AM,210.61,46.83,59.05,77.8,73.76,89.9,90.04,-0.03,0
5/25/2020 8:00:00 AM,210.71,46.92,59.09,77.86,73.76,89.89,90.03,-0.03,0
5/25/2020 7:00:00 AM,210.76,46.97,59.1,77.9,73.76,89.89,90.05,-0.02,0
5/25/2020 6:00:00 AM,210.76,47,59.09,77.91,73.76,89.9,90.05,-0.01,0
5/25/2020 5:00:00 AM,210.74,47,59.08,77.9,73.76,89.9,90.05,0.02,0
5/25/2020 4:00:00 AM,210.71,47.01,59.07,77.88,73.76,89.89,90.05,-0.02,0
5/25/2020 3:00:00 AM,210.71,47.01,59.06,77.88,73.76,89.9,90.04,-0.01,0
5/25/2020 2:00:00 AM,210.69,47.01,59.07,77.87,73.75,89.9,90.05,-0.03,0
5/25/2020 1:00:00 AM,210.68,47.01,59.05,77.87,73.75,89.9,90.05,0,0
5/25/2020 12:00:00 AM,210.63,47,59.03,77.85,73.75,89.89,90.05,-0.04,0
5/24/2020 11:00:00 PM,210.62,46.97,59.03,77.85,73.74,89.9,90.05,-0.03,0
5/24/2020 10:00:00 PM,210.58,46.94,59.01,77.85,73.73,89.9,90.05,-0.04,0
5/24/2020 9:00:00 PM,210.58,46.89,59.02,77.82,73.73,89.91,90.05,-0.06,0
5/24/2020 8:00:00 PM,210.55,46.83,59,77.82,73.73,89.9,90.05,-0.08,0
5/24/2020 7:00:00 PM,210.55,46.75,59.01,77.83,73.72,89.9,90.04,-0.13,0
5/24/2020 6:00:00 PM,210.62,46.67,59.05,77.84,73.73,89.91,90.05,-0.13,0
5/24/2020 5:00:00 PM,210.75,46.62,59.13,77.88,73.74,89.91,90.05,-0.19,0
5/24/2020 4:00:00 PM,210.91,46.64,59.22,77.94,73.75,89.91,90.05,-0.15,0
5/24/2020 3:00:00 PM,211.09,46.7,59.33,78,73.76,89.91,90.05,-0.15,0
5/24/2020 2:00:00 PM,211.26,46.76,59.45,78.05,73.76,89.92,90.06,-0.13,0
5/24/2020 1:00:00 PM,211.46,46.84,59.59,78.1,73.77,89.94,90.06,-0.09,0
5/24/2020 12:00:00 PM,211.63,46.92,59.69,78.17,73.77,89.93,90.05,-0.08,0
5/24/2020 11:00:00 AM,211.77,47,59.79,78.2,73.79,89.94,90.05,-0.04,0
5/24/2020 10:00:00 AM,211.93,47.08,59.86,78.26,73.81,89.94,90.05,-0.02,0
5/24/2020 9:00:00 AM,212.02,47.18,59.92,78.3,73.8,89.94,90.05,-0.01,0
5/24/2020 8:00:00 AM,212.11,47.22,59.95,78.35,73.82,89.95,90.05,0,0
5/24/2020 7:00:00 AM,212.17,47.29,59.96,78.38,73.83,89.94,90.05,0.01,0
5/24/2020 6:00:00 AM,212.14,47.32,59.96,78.37,73.82,89.95,90.05,0.05,0
5/24/2020 5:00:00 AM,212.16,47.33,59.95,78.37,73.83,89.94,90.04,0.02,0
5/24/2020 4:00:00 AM,212.12,47.35,59.94,78.36,73.81,89.95,90.05,0.02,0
5/24/2020 3:00:00 AM,212.1,47.36,59.94,78.36,73.8,89.96,90.04,0.03,0
5/24/2020 2:00:00 AM,212.08,47.36,59.93,78.35,73.8,89.95,90.04,-0.02,0
5/24/2020 1:00:00 AM,212.08,47.37,59.94,78.35,73.79,89.95,90.05,-0.02,0
5/24/2020 12:00:00 AM,212.07,47.37,59.92,78.36,73.79,89.96,90.05,-0.03,0
5/23/2020 11:00:00 PM,212.04,47.35,59.9,78.35,73.79,89.95,90.05,-0.03,0
5/23/2020 10:00:00 PM,212.01,47.33,59.88,78.34,73.78,89.97,90.05,-0.03,0
5/23/2020 9:00:00 PM,212.01,47.28,59.9,78.33,73.78,89.97,90.05,-0.04,0
5/23/2020 8:00:00 PM,212.02,47.21,59.91,78.33,73.78,89.96,90.05,-0.07,0
5/23/2020 7:00:00 PM,212.03,47.14,59.92,78.33,73.77,89.96,90.04,-0.1,0
5/23/2020 6:00:00 PM,212.08,47.05,59.96,78.35,73.77,89.97,90.05,-0.11,0
5/23/2020 5:00:00 PM,212.21,47.02,60.03,78.4,73.77,89.98,90.05,-0.17,0
5/23/2020 4:00:00 PM,212.36,47.05,60.14,78.43,73.79,89.98,90.05,-0.15,0
5/23/2020 3:00:00 PM,212.52,47.09,60.23,78.5,73.79,89.98,90.05,-0.14,0
5/23/2020 2:00:00 PM,212.72,47.19,60.37,78.55,73.81,89.99,90.05,-0.12,0
5/23/2020 1:00:00 PM,212.87,47.24,60.46,78.61,73.81,89.98,90.05,-0.08,0
5/23/2020 12:00:00 PM,213.05,47.31,60.57,78.66,73.83,89.99,90.06,-0.07,0
5/23/2020 11:00:00 AM,213.22,47.4,60.67,78.71,73.83,90.01,90.06,-0.03,0
5/23/2020 10:00:00 AM,213.4,47.54,60.79,78.78,73.83,90.01,90.07,-0.01,0
5/23/2020 9:00:00 AM,213.55,47.63,60.85,78.84,73.86,90.01,90.07,0,0
5/23/2020 8:00:00 AM,213.65,47.7,60.91,78.87,73.87,90.01,90.07,0.01,0
5/23/2020 7:00:00 AM,213.75,47.77,60.95,78.92,73.88,90.02,90.07,0.04,0
5/23/2020 6:00:00 AM,213.76,47.82,60.95,78.93,73.88,90.01,90.07,0.05,0
5/23/2020 5:00:00 AM,213.78,47.83,60.97,78.93,73.88,90.01,90.07,0.02,0
5/23/2020 4:00:00 AM,213.74,47.85,60.95,78.93,73.86,90.02,90.07,0.05,0
5/23/2020 3:00:00 AM,213.75,47.86,60.96,78.93,73.87,90.02,90.06,0.03,0
5/23/2020 2:00:00 AM,213.73,47.87,60.95,78.92,73.86,90.01,90.07,0,0
5/23/2020 1:00:00 AM,213.72,47.88,60.95,78.91,73.86,90.01,90.07,0.03,0
5/23/2020 12:00:00 AM,213.72,47.89,60.96,78.9,73.86,90.01,90.07,-0.01,0
5/22/2020 11:00:00 PM,213.68,47.88,60.95,78.89,73.85,90.01,90.07,0,0
5/22/2020 10:00:00 PM,213.68,47.85,60.94,78.88,73.86,90.01,90.07,-0.05,0
5/22/2020 9:00:00 PM,213.64,47.83,60.94,78.88,73.83,90.01,90.06,-0.03,0
5/22/2020 8:00:00 PM,213.66,47.78,60.94,78.88,73.85,90.02,90.06,-0.03,0
5/22/2020 7:00:00 PM,213.68,47.72,60.96,78.89,73.83,90.01,90.07,-0.05,0
5/22/2020 6:00:00 PM,213.77,47.68,61.01,78.92,73.85,90.01,90.07,-0.06,0
5/22/2020 5:00:00 PM,213.88,47.67,61.09,78.95,73.85,90.02,90.07,-0.11,0
5/22/2020 4:00:00 PM,214.06,47.73,61.2,79.01,73.86,90.02,90.08,-0.11,0
5/22/2020 3:00:00 PM,214.19,47.81,61.29,79.05,73.85,90.02,90.07,-0.08,0
5/22/2020 2:00:00 PM,214.36,47.91,61.39,79.11,73.86,90.04,90.07,-0.08,0
5/22/2020 1:00:00 PM,214.56,48.03,61.49,79.19,73.88,90.04,90.07,-0.06,0
5/22/2020 12:00:00 PM,214.72,48.13,61.6,79.25,73.88,90.04,90.07,-0.03,0
5/22/2020 11:00:00 AM,214.88,48.23,61.68,79.31,73.89,90.04,90.09,-0.01,0
5/22/2020 10:00:00 AM,215.03,48.37,61.76,79.37,73.9,90.05,90.09,0,0
5/22/2020 9:00:00 AM,215.11,48.45,61.8,79.4,73.91,90.06,90.08,0,0
5/22/2020 8:00:00 AM,215.19,48.53,61.83,79.45,73.9,90.05,90.07,0,0
5/22/2020 7:00:00 AM,215.25,48.59,61.85,79.48,73.92,90.04,90.09,0.03,0
5/22/2020 6:00:00 AM,215.22,48.62,61.85,79.47,73.9,90.04,90.1,0.05,0
5/22/2020 5:00:00 AM,215.19,48.65,61.83,79.46,73.9,90.04,90.09,0.01,0
5/22/2020 4:00:00 AM,215.18,48.64,61.83,79.46,73.89,90.06,90.09,0.04,0
5/22/2020 3:00:00 AM,215.17,48.66,61.84,79.44,73.89,90.04,90.09,0,0
5/22/2020 2:00:00 AM,215.14,48.65,61.81,79.44,73.89,90.05,90.08,-0.01,0
5/22/2020 1:00:00 AM,215.13,48.64,61.8,79.44,73.89,90.06,90.1,-0.03,0
5/22/2020 12:00:00 AM,215.11,48.64,61.78,79.43,73.89,90.05,90.09,-0.01,0
5/21/2020 11:00:00 PM,215.07,48.63,61.78,79.42,73.88,90.07,90.1,-0.03,0
5/21/2020 10:00:00 PM,215.06,48.61,61.77,79.42,73.88,90.07,90.1,-0.03,0
5/21/2020 9:00:00 PM,215.06,48.56,61.77,79.42,73.87,90.05,90.1,-0.02,0
5/21/2020 8:00:00 PM,215.04,48.5,61.75,79.41,73.88,90.07,90.09,-0.04,0
5/21/2020 7:00:00 PM,215.07,48.41,61.77,79.42,73.88,90.06,90.1,-0.07,0
