Sanders Middle WS,Soil Moisture 12 in,Soil Moisture 24 in,Soil Moisture 36 in,Soil Moisture 48 in,Soil Moisture 60 in,Pressure On/Off
5/28/2020 11:00:00 AM,7.6,11.41,60.67,89.64,80.29,0
5/28/2020 10:00:00 AM,7.62,11.42,60.67,89.63,80.28,0
5/28/2020 9:00:00 AM,7.62,11.42,60.66,89.63,80.29,0
5/28/2020 8:00:00 AM,7.61,11.42,60.65,89.64,80.3,0
5/28/2020 7:00:00 AM,7.62,11.41,60.62,89.62,80.29,0
5/28/2020 6:00:00 AM,7.61,11.42,60.61,89.61,80.28,0
5/28/2020 5:00:00 AM,7.61,11.42,60.62,89.59,80.28,0
5/28/2020 4:00:00 AM,7.61,11.41,60.6,89.6,80.28,0
5/28/2020 3:00:00 AM,7.61,11.41,60.57,89.6,80.27,0
5/28/2020 2:00:00 AM,7.62,11.4,60.52,89.59,80.27,0
5/28/2020 1:00:00 AM,7.62,11.43,60.49,89.58,80.26,0
5/28/2020 12:00:00 AM,7.62,11.42,60.49,89.57,80.27,0
5/27/2020 11:00:00 PM,7.62,11.4,60.53,89.54,80.27,0
5/27/2020 10:00:00 PM,7.65,11.39,60.59,89.52,80.26,0
5/27/2020 9:00:00 PM,7.63,11.39,60.61,89.51,80.27,0
5/27/2020 8:00:00 PM,7.64,11.41,60.61,89.52,80.27,0
5/27/2020 7:00:00 PM,7.63,11.4,60.61,89.57,80.29,0
5/27/2020 6:00:00 PM,7.65,11.39,60.62,89.6,80.28,0
5/27/2020 5:00:00 PM,7.63,11.37,60.62,89.62,80.29,0
5/27/2020 4:00:00 PM,7.63,11.36,60.64,89.69,80.31,0
5/27/2020 3:00:00 PM,7.61,11.35,60.64,89.7,80.3,0
5/27/2020 2:00:00 PM,7.6,11.36,60.66,89.72,80.32,0
5/27/2020 1:00:00 PM,7.6,11.37,60.67,89.75,80.33,0
5/27/2020 12:00:00 PM,7.59,11.37,60.74,89.75,80.34,0
5/27/2020 11:00:00 AM,7.59,11.37,60.77,89.76,80.36,0
5/27/2020 10:00:00 AM,7.59,11.35,60.78,89.77,80.38,0
5/27/2020 9:00:00 AM,7.59,11.37,60.78,89.78,80.39,0
5/27/2020 8:00:00 AM,7.6,11.35,60.76,89.77,80.39,0
5/27/2020 7:00:00 AM,7.6,11.33,60.75,89.77,80.39,0
5/27/2020 6:00:00 AM,7.61,11.32,60.74,89.76,80.39,0
5/27/2020 5:00:00 AM,7.62,11.32,60.72,89.75,80.39,0
5/27/2020 4:00:00 AM,7.62,11.32,60.72,89.75,80.38,0
5/27/2020 3:00:00 AM,7.61,11.31,60.71,89.73,80.38,0
5/27/2020 2:00:00 AM,7.61,11.3,60.7,89.73,80.39,0
5/27/2020 1:00:00 AM,7.61,11.31,60.67,89.72,80.38,0
5/27/2020 12:00:00 AM,7.61,11.33,60.65,89.7,80.39,0
5/26/2020 11:00:00 PM,7.6,11.32,60.66,89.68,80.39,0
5/26/2020 10:00:00 PM,7.59,11.32,60.69,89.68,80.39,0
5/26/2020 9:00:00 PM,7.58,11.32,60.68,89.66,80.39,0
5/26/2020 8:00:00 PM,7.56,11.31,60.68,89.67,80.4,0
5/26/2020 7:00:00 PM,7.55,11.31,60.69,89.66,80.4,0
5/26/2020 6:00:00 PM,7.49,11.31,60.72,89.68,80.4,0
5/26/2020 5:00:00 PM,7.52,11.31,60.75,89.71,80.41,0
5/26/2020 4:00:00 PM,7.48,11.34,60.78,89.73,80.41,0
5/26/2020 3:00:00 PM,7.49,11.33,60.79,89.75,80.42,0
5/26/2020 2:00:00 PM,7.49,11.31,60.82,89.76,80.42,0
5/26/2020 1:00:00 PM,7.47,11.31,60.85,89.78,80.42,0
5/26/2020 12:00:00 PM,7.47,11.32,60.88,89.78,80.43,0
5/26/2020 11:00:00 AM,7.47,11.31,60.89,89.79,80.43,0
5/26/2020 10:00:00 AM,7.44,11.3,60.94,89.79,80.44,0
5/26/2020 9:00:00 AM,7.43,11.3,60.96,89.79,80.44,0
5/26/2020 8:00:00 AM,7.46,11.29,60.97,89.79,80.44,0
5/26/2020 7:00:00 AM,7.48,11.29,60.96,89.79,80.45,0
5/26/2020 6:00:00 AM,7.48,11.27,60.94,89.78,80.44,0
5/26/2020 5:00:00 AM,7.48,11.27,60.92,89.79,80.44,0
5/26/2020 4:00:00 AM,7.48,11.27,60.91,89.78,80.45,0
5/26/2020 3:00:00 AM,7.47,11.27,60.89,89.76,80.47,0
5/26/2020 2:00:00 AM,7.46,11.28,60.87,89.76,80.5,0
5/26/2020 1:00:00 AM,7.47,11.27,60.87,89.76,80.5,0
5/26/2020 12:00:00 AM,7.49,11.27,60.86,89.75,80.5,0
5/25/2020 11:00:00 PM,7.48,11.26,60.86,89.75,80.5,0
5/25/2020 10:00:00 PM,7.51,11.26,60.87,89.76,80.5,0
5/25/2020 9:00:00 PM,7.51,11.26,60.87,89.76,80.51,0
5/25/2020 8:00:00 PM,7.51,11.26,60.87,89.79,80.51,0
5/25/2020 7:00:00 PM,7.5,11.27,60.88,89.77,80.52,0
5/25/2020 6:00:00 PM,7.49,11.27,60.9,89.8,80.53,0
5/25/2020 5:00:00 PM,7.47,11.25,60.93,89.82,80.52,0
5/25/2020 4:00:00 PM,7.43,11.25,60.98,89.85,80.53,0
5/25/2020 3:00:00 PM,7.44,11.25,61.01,89.86,80.54,0
5/25/2020 2:00:00 PM,7.45,11.24,61.03,89.88,80.55,0
5/25/2020 1:00:00 PM,7.46,11.23,61.03,89.91,80.57,0
5/25/2020 12:00:00 PM,7.46,11.22,61.06,89.92,80.59,0
5/25/2020 11:00:00 AM,7.43,11.21,61.06,89.93,80.6,0
5/25/2020 10:00:00 AM,7.41,11.2,61.1,89.93,80.6,0
5/25/2020 9:00:00 AM,7.4,11.22,61.11,89.94,80.61,0
5/25/2020 8:00:00 AM,7.42,11.21,61.09,89.94,80.61,0
5/25/2020 7:00:00 AM,7.42,11.2,61.07,89.93,80.61,0
5/25/2020 6:00:00 AM,7.43,11.2,61.04,89.94,80.6,0
5/25/2020 5:00:00 AM,7.43,11.19,61,89.93,80.6,0
5/25/2020 4:00:00 AM,7.42,11.19,60.98,89.94,80.6,0
5/25/2020 3:00:00 AM,7.42,11.19,60.97,89.94,80.6,0
5/25/2020 2:00:00 AM,7.42,11.2,60.95,89.95,80.61,0
5/25/2020 1:00:00 AM,7.41,11.2,60.93,89.97,80.63,0
5/25/2020 12:00:00 AM,7.44,11.21,60.9,89.95,80.63,0
5/24/2020 11:00:00 PM,7.41,11.2,60.86,89.94,80.69,0
5/24/2020 10:00:00 PM,7.39,11.2,60.85,89.97,80.62,0
5/24/2020 9:00:00 PM,7.4,11.2,60.83,89.97,80.7,0
5/24/2020 8:00:00 PM,7.38,11.2,60.83,89.97,80.71,0
5/24/2020 7:00:00 PM,7.38,11.2,60.82,89.97,80.74,0
5/24/2020 6:00:00 PM,7.36,11.2,60.83,89.97,80.71,0
5/24/2020 5:00:00 PM,7.37,11.19,60.84,89.99,80.74,0
5/24/2020 4:00:00 PM,7.37,11.19,60.86,89.99,80.72,0
5/24/2020 3:00:00 PM,7.35,11.19,60.86,90,80.75,0
5/24/2020 2:00:00 PM,7.35,11.19,60.86,90,80.76,0
5/24/2020 1:00:00 PM,7.35,11.17,60.87,90.01,80.79,0
5/24/2020 12:00:00 PM,7.35,11.16,60.86,90.01,80.78,0
5/24/2020 11:00:00 AM,7.36,11.16,60.87,90.01,80.8,0
5/24/2020 10:00:00 AM,7.33,11.15,60.86,90.02,80.81,0
5/24/2020 9:00:00 AM,7.34,11.15,60.84,90.02,80.81,0
5/24/2020 8:00:00 AM,7.36,11.14,60.83,90.02,80.8,0
5/24/2020 7:00:00 AM,7.34,11.14,60.81,90.02,80.81,0
5/24/2020 6:00:00 AM,7.33,11.16,60.83,90.02,80.81,0
5/24/2020 5:00:00 AM,7.33,11.17,60.83,90.02,80.81,0
5/24/2020 4:00:00 AM,7.33,11.16,60.8,90.02,80.8,0
5/24/2020 3:00:00 AM,7.33,11.15,60.78,90.01,80.8,0
5/24/2020 2:00:00 AM,7.33,11.15,60.76,90.01,80.8,0
5/24/2020 1:00:00 AM,7.34,11.15,60.74,90.01,80.79,0
5/24/2020 12:00:00 AM,7.35,11.15,60.72,90,80.8,0
5/23/2020 11:00:00 PM,7.34,11.15,60.71,90,80.8,0
5/23/2020 10:00:00 PM,7.33,11.15,60.7,89.99,80.8,0
5/23/2020 9:00:00 PM,7.34,11.16,60.7,89.99,80.8,0
5/23/2020 8:00:00 PM,7.33,11.16,60.69,89.99,80.8,0
5/23/2020 7:00:00 PM,7.32,11.16,60.69,89.99,80.8,0
5/23/2020 6:00:00 PM,7.31,11.16,60.7,90,80.8,0
5/23/2020 5:00:00 PM,7.31,11.16,60.71,90,80.81,0
5/23/2020 4:00:00 PM,7.29,11.15,60.71,90,80.81,0
5/23/2020 3:00:00 PM,7.27,11.15,60.72,90.01,80.8,0
5/23/2020 2:00:00 PM,7.27,11.15,60.72,90.01,80.82,0
5/23/2020 1:00:00 PM,7.27,11.15,60.73,90.02,80.82,0
5/23/2020 12:00:00 PM,7.27,11.14,60.73,90.03,80.82,0
5/23/2020 11:00:00 AM,7.27,11.13,60.72,90.03,80.83,0
5/23/2020 10:00:00 AM,7.28,11.13,60.72,90.02,80.83,0
5/23/2020 9:00:00 AM,7.31,11.13,60.72,90.04,80.85,0
5/23/2020 8:00:00 AM,7.26,11.13,60.7,90.04,80.86,0
5/23/2020 7:00:00 AM,7.3,11.13,60.69,90.03,80.86,0
5/23/2020 6:00:00 AM,7.3,11.13,60.67,90.04,80.85,0
5/23/2020 5:00:00 AM,7.29,11.13,60.65,90.04,80.84,0
5/23/2020 4:00:00 AM,7.29,11.14,60.62,90.03,80.85,0
5/23/2020 3:00:00 AM,7.28,11.14,60.6,90.03,80.85,0
5/23/2020 2:00:00 AM,7.27,11.13,60.59,90.03,80.85,0
5/23/2020 1:00:00 AM,7.29,11.12,60.59,90.03,80.84,0
5/23/2020 12:00:00 AM,7.3,11.12,60.58,90.03,80.84,0
5/22/2020 11:00:00 PM,7.32,11.12,60.56,90.03,80.84,0
5/22/2020 10:00:00 PM,7.3,11.12,60.55,90.02,80.84,0
5/22/2020 9:00:00 PM,7.27,11.12,60.54,90.02,80.83,0
5/22/2020 8:00:00 PM,7.26,11.12,60.54,90.02,80.83,0
5/22/2020 7:00:00 PM,7.31,11.12,60.54,90.02,80.83,0
5/22/2020 6:00:00 PM,7.29,11.12,60.54,90.02,80.83,0
5/22/2020 5:00:00 PM,7.28,11.12,60.55,90.03,80.84,0
5/22/2020 4:00:00 PM,7.27,11.12,60.55,90.02,80.85,0
5/22/2020 3:00:00 PM,7.27,11.11,60.56,90.03,80.85,0
5/22/2020 2:00:00 PM,7.28,11.11,60.56,90.04,80.85,0
5/22/2020 1:00:00 PM,7.28,11.11,60.59,90.05,80.86,0
5/22/2020 12:00:00 PM,7.25,11.11,60.6,90.04,80.86,0
5/22/2020 11:00:00 AM,7.24,11.1,60.56,90.05,80.88,0
5/22/2020 10:00:00 AM,7.26,11.1,60.57,90.05,80.89,0
5/22/2020 9:00:00 AM,7.25,11.1,60.55,90.05,80.89,0
5/22/2020 8:00:00 AM,7.24,11.11,60.53,90.05,80.89,0
5/22/2020 7:00:00 AM,7.25,11.12,60.53,90.05,80.89,0
5/22/2020 6:00:00 AM,7.26,11.12,60.52,90.05,80.89,0
5/22/2020 5:00:00 AM,7.26,11.12,60.5,90.04,80.88,0
